_id,project_title,start_actual_isodate,donors_iso2,ad_sector_names,status,transactions_start_year,transactions_end_year,total_commitments,total_disbursements
180,Sector Program Health and Family Planning,2008-07-09T00:00:00,Kreditanstalt fÃ¼r Wiederaufbau,Health,Implementation,2007,2013,16818600,8648780
181,Expansion of Malaria prevention and control to at-risk populations in Nepal 2010-2016,,"Global Fund to Fight AIDS, Tuberculosis and Malaria",Health,Implementation,2010,2010,13588980,6172866
182,Project for Construction of Primary School,2005-06-03T00:00:00,Japan,"Education, level unspecified",Completion,2005,2007,6062460,5136346
183,Nepal Health Sector Program II (NHSP II) - GAVI,,Global Alliance for Vaccines and Immunisation,Health,Implementation,2010,2013,14850662,2331183
184,Improving Livelihood for Poor Farmers and Disadvantaged Groups in the Eastern Development Region (JFPR Project No. 9101-NEP),2007-07-20T00:00:00,Japan Fund for Poverty Reduction,Agriculture,Completion,2007,2012,1067140,782582
185,Local Peace Committee,2008-12-19T00:00:00,Asian Development Bank,"Conflict prevention and resolution, peace and security",Implementation,2008,2008,4697936,-
186,Energy Sector Assistance Programme Phase II (ESAP II),2007-03-15T00:00:00,Department for International Development|Denmark|Norway|Kreditanstalt fÃ¼r Wiederaufbau,Energy generation and supply,Completion,2007,2012,70715116,51284213
187,Sub Regional Transport Enhancement Project,,Asian Development Bank,Transport and storage,Implementation,2010,2013,50044561,11877291
188,Kathmandu Sustainable Urban Transport Project,2011-01-26T00:00:00,Global Environment Facility|Asian Development Bank,Transport and storage,Implementation,2010,2013,23000071,3063303
189,Development of Railway Infrastructure Project,2010-02-16T00:00:00,India,Transport and storage,Implementation,2010,2010,-,-
190,Transport Project Preparatory Facility Nepal,,Asian Development Bank,Transport and storage,Implementation,2011,2013,12000000,1870065
191,Technical Assistance for financing the Preparation of a Feasibility Study and Preliminary Engineering Designs for the Sitapaila-Dharke Road Project,,Kuwait fund for Arab Economic development,Transport and storage,Implementation,-,-,-,-
192,Health Services Improvement in Tikapur,2011-12-09T00:00:00,Korea International Cooperation Agency,Health,Implementation,2010,2013,5500000,3003743
193,Strengthening Public Procurement Management and Portfolio Performance,,Asian Development Bank,Banking and financial services,Implementation,2010,2013,229796,199105
194,"Nepal Peace Support Programme, phase III",2011-05-24T00:00:00,Denmark|International Development Association,"Conflict prevention and resolution, peace and security",Implementation,2011,2012,7596042,3592029
195,Master Plan for the Lumbini World Peace City Preservation and Development,2012-01-20T00:00:00,Korea International Cooperation Agency,Tourism,Implementation,2011,2013,1963687,1660223
196,Preparation of the Agricultural Development Strategy,2010-12-14T00:00:00,Asian Development Bank,Agriculture,Implementation,2010,2013,2042635,1684879
197,TA 7585 :Support to Build Capacity In TEVT,2010-08-20T00:00:00,Asian Development Bank,"Education, level unspecified",Implementation,2010,2013,229796,140779
198,TA 7298: Himali Project,2009-08-23T00:00:00,Asian Development Bank,Agriculture,Implementation,2009,2013,1482584,1018641
199,TA 7173-NEP:Strengthening Capacity for Managing Climate Change and the Environment,2009-01-13T00:00:00,Asian Development Bank,General environmental protection,Implementation,2008,2013,1331081,1124677
200,TA 7025: Education Sector Program (Subprogram III),2008-01-20T00:00:00,Asian Development Bank,"Education, level unspecified",Implementation,2007,2012,640284,452166
201,TA 7760: Support for the Implementation of School Sector Reform,2010-12-16T00:00:00,Asian Development Bank,"Education, level unspecified",Implementation,2010,2013,229796,358094
202,TA 7524-NEP: Supporting Government Planning in building Climate Resilence,,International Finance Cooperation|Asian Development Bank|World Bank Trust Funds,General environmental protection,Implementation,2010,2012,229796,210012
203,Capacity Building in Road Feasibility Study and Construction and Contract Management,2006-08-10T00:00:00,Asian Development Bank,Transport and storage,Implementation,2006,2011,329430,293006
204,TA 7411-NEP: Road Connectivity Project,2010-03-03T00:00:00,Asian Development Bank,Transport and storage,Implementation,2010,2011,612790,550059
205,TA 7352-NEP: Support to Local Governance and Community Development Program,2009-11-15T00:00:00,Asian Development Bank,Other,Implementation,2009,2011,569230,213855
206,PPTA 7574-NEP: Governance Support Program (Subprogram II),2010-08-09T00:00:00,Asian Development Bank,Other,Implementation,2010,2012,204263,105299
207,TA7628-NEP: Energy Sector Capacity Building,2010-12-06T00:00:00,Asian Development Bank,Energy generation and supply,Implementation,2010,2013,612790,481422
208,TA 4985-Nepal for Preparing the West Seti Hydroelectric Project,2007-11-16T00:00:00,Asian Development Bank,Energy generation and supply,Completion,2007,2011,320142,198770
209,TA7590-NEP: Preparing Hydropower Development for Energy Crisis,2010-09-28T00:00:00,Asian Development Bank,Energy generation and supply,Implementation,2010,2013,2042635,1841267
210,TA 7777-NEP: Improving Access to Finance Sector Development Program,,Asian Development Bank,Banking and financial services,Implementation,2011,2013,600000,483593
211,TA7666-NEP: Energy Access and Efficiency Improvement Project,2010-11-26T00:00:00,Asian Development Bank,Energy generation and supply,Implementation,2010,2012,612790,413821
212,TA 7176-NEP: Promoting Private Sector Participation in the Power Sector,2008-11-19T00:00:00,Asian Development Bank,Energy generation and supply,Completion,2008,2011,156597,125744
213,TA 7546-NEP: Capacity Building for Rural Finance Sector Development,2010-06-18T00:00:00,Asian Development Bank,Banking and financial services,Implementation,2010,2012,306395,126256
214,TA: Integrated Urban Development Project,2010-12-13T00:00:00,Asian Development Bank,Other,Implementation,2010,2013,817054,652952
215,Supporting Capacity Development of Water Services Operations and Public-Private Partnership in Kathmandu Valley,2007-12-10T00:00:00,Asian Development Bank,Water supply and sanitation,Implementation,2007,2011,2667850,1652818
216,Capacity Building for Waste Management,2010-09-16T00:00:00,Asian Development Bank,Other,Implementation,2010,2013,510658,416356
217,Strengthening the Town Development Fund Capacity for Public Private Partnership,2010-11-29T00:00:00,Asian Development Bank,Other,Implementation,2010,2012,316608,256171
218,TA 7504-NEP Increasing Access to Energy in Rural Nepal,2010-04-08T00:00:00,Asian Development Bank,Energy generation and supply,Implementation,2010,2013,952889,144645
219,Institutional Strengthening of Municipalities,2009-09-24T00:00:00,Asian Development Bank,Other,Implementation,2009,2012,919185,826283
220,TA 7573-NEP: Decentralized Rural Infrastructure & Livelihood Project II,2010-09-17T00:00:00,Asian Development Bank,Other social infrastructure and services,Implementation,2010,2012,510658,480404
221,Secondary Towns Integrated Urban Environmental Improvement Project - PPTA,2008-12-02T00:00:00,Asian Development Bank,Other,Completion,2008,2011,883211,831071
222,TA 4962-NEP: Support to Anticorruption Institutions,2008-03-18T00:00:00,Asian Development Bank,"Government and civil society, general",Completion,2008,2010,417594,338578
223,Reducing Child Malnutrition through Social Protection,2011-06-08T00:00:00,Asian Development Bank,General budget support,Implementation,2011,2013,2700000,813942
224,TA 7042-NEP: Economic Policy Network II,2008-09-01T00:00:00,Asian Development Bank,"General budget support|Government and civil society, general",Implementation,2008,2012,521992,419367
225,TA 7158-NEP: Strengthening Capacity for Management for Development Results,2008-12-01T00:00:00,Asian Development Bank,Other social infrastructure and services,Implementation,2008,2012,521992,407999
226,TA7165-NEP: Strengthening Capacity for Macroeconomic Analysis,2008-11-26T00:00:00,Asian Development Bank,Other social infrastructure and services,Implementation,2008,2013,704690,522336
227,TA 7384-NEP: Institutional Strengthening of the National Planning Commission,2009-12-16T00:00:00,Asian Development Bank,"Government and civil society, general",Implementation,2009,2012,646852,409642
228,TA 7530-NEP: Supporting the Development of a Social Protection Framework,2010-06-24T00:00:00,Asian Development Bank,"Government and civil society, general",Implementation,2010,2012,204263,141131
229,Adolescent Girls Employment Initiative,2010-03-16T00:00:00,Department for International Development|World Bank Trust Funds,"Education, level unspecified",Implementation,2009,2013,5544733,6045757
230,Scaling Up Nutrition Initiative -Technical Assistance (SUNITA),,World Bank Trust Funds,Health,Implementation,2011,2013,135000,91433
231,Strengthening Institutional Capacity of the DNPWC for the Effective Management of Mountain Protected Areas,2011-08-25T00:00:00,World Bank Trust Funds,"Government and civil society, general",Implementation,2011,2013,500000,177424
232,Micro Hydro Project (CDCF),2007-06-30T00:00:00,World Bank Trust Funds,Energy generation and supply,Implementation,2006,2007,2149811,-
233,Program for Accountability in Nepal-PRAN,2011-01-24T00:00:00,World Bank Trust Funds,"Government and civil society, general",Implementation,2011,2013,782000,1265937
234,Nepal Human Development - Social Protection Pilot,2011-08-29T00:00:00,World Bank Trust Funds,Other social infrastructure and services,Pipeline/identification,2011,2013,1500000,465895
235,Ghar Ghar Maa Swasthya (GGMS/CRS),,U.S. Agency for International Development,Health,Implementation,2010,2013,5923641,3583302
236,Combatting Trafficking in Persons (CTIP) project,,U.S. Agency for International Development,Other social infrastructure and services,Implementation,2010,2012,6944178,5812150
237,"School Led Safe Water, Sanitation and Hygiene Improvement in Mid western areas of Nepal (Su-SWASTHA)",,U.S. Agency for International Development,Health,Implementation,2010,2013,318651,320877
238,Ghar Ghar Maa Swasthya TA (GGMS/FHI360),,U.S. Agency for International Development,Health,Implementation,2010,2013,10094058,6125333
239,Suaahara (Good Nutrition),,U.S. Agency for International Development,Health,Implementation,2011,2013,46000000,20141169
240,Monitoring Nepal's Peace Process and Constitution Drafting Process,,U.S. Agency for International Development,"Conflict prevention and resolution, peace and security",Implementation,2009,2012,2589098,2593636
241,Nepal Peace Support Project,,U.S. Agency for International Development,"Conflict prevention and resolution, peace and security",Implementation,2009,2013,2771257,4176806
242,USAID/Nepal Transition Initiative (NTI),2006-09-16T00:00:00,U.S. Agency for International Development,"Conflict prevention and resolution, peace and security",Completion,2006,2010,27282376,25547404
243,"Safe Practices on Water, Sanitation and Hygiene (Safe-WASH)",,U.S. Agency for International Development,Health,Implementation,2010,2013,417718,412382
244,Strengthening the Rehabilitation in District Environment (STRIDE),,U.S. Agency for International Development,Health,Implementation,2010,2013,2785280,1680892
245,"Advancing Surveillance, Policies, Prevention, Care and Support to Fight HIV/AIDS project (ASHA)",,U.S. Agency for International Development,Health,Completion,2005,2012,24517556,22900646
246,Strengthening Political Parties Electoral and Legislative Processes(SPELP),,U.S. Agency for International Development,Other social infrastructure and services,Implementation,2010,2012,24409490,16722276
247,Hill Maize Research Program,,U.S. Agency for International Development,Agriculture,Implementation,2010,2013,2042635,2032163
248,Education for Income Generation Program (EIG),,U.S. Agency for International Development,"Education, level unspecified",Implementation,2008,2012,15327468,15025680
249,Nepal Family Health Program (NFHP II),,U.S. Agency for International Development,Health,Completion,2008,2011,31319571,30858734
250,USAID/Nepal Flood Recovery Program,,U.S. Agency for International Development,Agriculture|Other social infrastructure and services,Implementation,2008,2011,8936912,8762618
251,Support to the Peace Process in Nepal - phase I,2007-03-07T00:00:00,Denmark,"Conflict prevention and resolution, peace and security",Implementation,2007,2010,5521491,5398880
252,Support to the Peace Process in Nepal - phase II,2008-08-27T00:00:00,Denmark,"Conflict prevention and resolution, peace and security",Implementation,2008,2012,9002812,8695673
253,Local Grant Authority (LGA),2011-01-03T00:00:00,Denmark,Other social infrastructure and services,Implementation,2009,2012,5379248,4345443
254,Humanitarian Aid,2007-08-16T00:00:00,Denmark,Other social infrastructure and services,Completion,2006,2009,239136,239136
255,B2B Programme,2007-06-15T00:00:00,Denmark,Business and other services,Implementation,2007,2012,2456133,2110342
256,Climate & Dev. Action Programme,2008-10-22T00:00:00,Denmark,General environmental protection,Completion,2008,2010,846408,741220
257,"Rights, Democracy and Inclusion Fund (RDIF)",2009-06-05T00:00:00,Department for International Development|Denmark|Swiss Agency for Development and Cooperation|AusAid,Other social infrastructure and services,Implementation,2008,2012,8737931,6666805
258,Nepal Health Sector Programme NHSP-II,2010-08-18T00:00:00,Department for International Development|Kreditanstalt fÃ¼r Wiederaufbau|International Development Association|AusAid,Health,Implementation,2009,2012,259221514,56021536
259,Centre for Inclusive Growth,2009-03-11T00:00:00,Department for International Development,General budget support,Implementation,2009,2013,25173664,10696486
260,Livelihood and Forestry Programme,2000-11-02T00:00:00,Department for International Development,Forestry,Completion,2000,2012,47781407,28125823
261,Rural Reconstruction and Rehabilitation Sector Development Program[RRRSDP],2008-02-01T00:00:00,Department for International Development|OPEC Fund for Inernational Development|Swiss Agency for Development and Cooperation|Asian Development Bank|DRF UK,Other,Completion,2008,2013,138341832,99579883
262,NEPAL RURAL ACCESS PROGRAMME PHASE- II,,Department for International Development,Other,Implementation,2008,2012,61766064,58236852
263,Market Access for Small Farmers,2010-06-29T00:00:00,Department for International Development,Agriculture,Completion,2010,2012,3826306,3969441
264,Great Himalayan Trail Development Programme,2010-01-15T00:00:00,Department for International Development,Tourism,Completion,2010,2013,3858444,3362984
265,Nepal Investment Climate Facility Reform Programme,2009-09-10T00:00:00,Department for International Development,Industry,Implementation,2009,2011,7791636,7262714
266,School sector Reform Program (SSRP),2010-01-01T00:00:00,Private Citizen|Department for International Development|Denmark|Finland|Japan International Cooperation Agency|Norway|International Development Association|Asian Development Bank|United Nations Children's Fund|European Union|AusAid,"Education, level unspecified",Implementation,2007,2013,788462343,285558160
267,Social Inclusion Action Programme,2006-10-10T00:00:00,Department for International Development,Other social infrastructure and services,Completion,2006,2012,5556994,4452482
268,Enabling State Programme,1997-11-05T00:00:00,Department for International Development,"Government and civil society, general",Implementation,1997,2013,-,50828457
269,Community Support Programme Phase - II,2010-04-13T00:00:00,Department for International Development,Other,Implementation,2010,2013,27807064,19445578
270,Local Governance and Community Development Program (LGCDP),2008-07-16T00:00:00,Swiss Agency for Development and Cooperation|Canadian International Development Agency|Denmark|Department for International Development|Asian Development Bank|Norway,Other,Implementation,2008,2013,174453437,152980780
271,Gurkha Welfare Phase 4,2008-05-14T00:00:00,Department for International Development,Water supply and sanitation,Completion,2008,2012,7331082,5575356
272,Employment Fund Phase I,2011-01-01T00:00:00,Department for International Development|Swiss Agency for Development and Cooperation,"Education, level unspecified",Implementation,2010,2013,26766420,12036425
273,The Establishment of the Technical Training Center (TTC) at Kathmandu University,2011-12-09T00:00:00,Korea International Cooperation Agency,"Education, level unspecified",Implementation,2010,2013,3500000,1618954
274,Conflict prevention programme,2010-10-01T00:00:00,United Nations Development Programme|European Union|United Nations Peace Fund,"Conflict prevention and resolution, peace and security",Implementation,2010,2013,2656886,4355436
275,Renewable Energy for Rural Livelihoods (RERL),2011-05-01T00:00:00,United Nations Development Programme,Energy generation and supply,Implementation,2011,2013,2291967,2030659
276,Comprehensive Disaster Risk Management Programme (CDRMP),2011-02-21T00:00:00,Department for International Development|United Nations Development Programme|United Nations International Stragegy for Disaster Reduction|European Union|World Bank Trust Funds,Other social infrastructure and services,Implementation,2011,2013,6063130,10573304
277,Developing Capacities for Effective Aid Management and Coordination Project,2009-02-02T00:00:00,Department for International Development|Denmark|United Nations Development Programme,"Government and civil society, general",Implementation,2009,2012,1604491,1545256
278,Rural Energy Development Programme:REDP,2007-09-18T00:00:00,United Nations Development Programme,Energy generation and supply,Completion,2007,2011,3548667,687911
279,Assistance to the Peace Process in Nepal,2007-01-01T00:00:00,Department for International Development|United Nations Development Programme|Norway|United Nations Peace Fund,"Conflict prevention and resolution, peace and security",Completion,2006,2012,9349681,6922302
280,UN Joint programme of support to LGCDP,2009-04-01T00:00:00,Department for International Development|Denmark|United Nations Development Programme|United Nations Capital Development Fund,Other,Implementation,2009,2013,11827702,8905073
281,Agriculture-Based Micro-Enterprise Development Project,2011-04-01T00:00:00,Canadian International Development Agency,Agriculture,Implementation,2011,2011,1222743,1227747
282,Peace Building from Below (PBB),2008-11-06T00:00:00,Canadian International Development Agency,"Conflict prevention and resolution, peace and security",Implementation,2006,2011,8808216,2658087
283,Canada Fund for Local Initiatives,,Canadian International Development Agency,Other social infrastructure and services,Implementation,2011,2011,330442,-
284,SAHAKARYA - Governance,2010-04-02T00:00:00,Canadian International Development Agency,Other,Implementation,2010,2011,353746,182501
285,Development Democracy in Nepal Responsive Facility (DDNRF) - Nepal,2006-07-17T00:00:00,Canadian International Development Agency,Other social infrastructure and services,Implementation,2006,2006,4834477,-
286,SAHAKARYA - agriculture,2010-11-01T00:00:00,Canadian International Development Agency,Agriculture,Completion,2010,2010,840837,840837
287,School Health and Nutrition Project,2008-06-01T00:00:00,Japan International Cooperation Agency,Health,Completion,2008,2013,3769870,4288441
288,Participatory Watershed Management and Local Governance Project,2009-07-15T00:00:00,Japan International Cooperation Agency,Forestry,Implementation,2008,2013,5431940,4482293
289,Gender Mainstreaming and Social Inclusion Project,2009-02-01T00:00:00,Japan International Cooperation Agency,Other social infrastructure and services,Implementation,2009,2013,4952534,4712369
290,Strengthening Community Mediation Capacity for Peaceful and Harmonious Society,2010-01-01T00:00:00,Japan International Cooperation Agency,"Conflict prevention and resolution, peace and security",Implementation,2009,2013,3380086,2976289
291,Promotion of Quality Cocoon Production and Processing Project,,Japan International Cooperation Agency,Agriculture,Completion,2006,2012,1703541,2134271
292,Project for Capacity Development on Water Supply in Semi-Urban Area,2010-02-01T00:00:00,Japan International Cooperation Agency,Water supply and sanitation,Implementation,2010,2013,3160262,2462248
293,Promoting Peace Building and Democratization Through The Capacity Development of The Media Sector,2010-11-01T00:00:00,Japan International Cooperation Agency,Communications,Implementation,2010,2013,3440031,2052471
294,Revitalization of Remote Villages through Community Forest Conservation,2011-02-01T00:00:00,Japan International Cooperation Agency,Agriculture|Forestry,Implementation,2011,2013,776933,336103
295,"Village Development for Kavrepalanchok, Sindhupalchok and Makawanpur districts",2010-01-26T00:00:00,Japan International Cooperation Agency,Other,Completion,2010,2012,304742,323021
296,Technical support and dissemination of alternative fuel firewood and oil,2009-07-21T00:00:00,Japan International Cooperation Agency,Energy generation and supply,Completion,2009,2012,186387,194770
297,Local capacity building for arsenic mitigation in Nawalparasi,2010-12-12T00:00:00,Japan International Cooperation Agency,Health,Completion,2010,2013,605535,543147
298,Youth Empowerment through Practical Peace Education,2008-05-01T00:00:00,Japan International Cooperation Agency,"Conflict prevention and resolution, peace and security",Completion,2008,2011,288843,348997
299,Promotion of Maternal and Child Health at 4 VDCs in Nawalparasi District,2010-10-15T00:00:00,Japan International Cooperation Agency,Health,Completion,2010,2013,606550,569438
300,Promoting Quality Education through Community Based School Management Follow-up,2011-01-01T00:00:00,Japan International Cooperation Agency,"Education, level unspecified",Completion,2010,2013,378525,352036
301,Promoting Quality Eduction through Community Based School Management,2009-11-01T00:00:00,Japan International Cooperation Agency,"Education, level unspecified",Completion,2009,2012,563017,585754
302,Bishesor Prasad Koirala Highway (Sindhuli Road Section III) [Nepalthok-Khurkot Segment],2009-11-16T00:00:00,Japan International Cooperation Agency|Japan,Transport and storage,Implementation,2008,2013,115694582,65521114
303,Forest Preservation Project,2010-08-05T00:00:00,Japan,Forestry,Implementation,2010,2013,6580301,348378
304,The Food AID Project (KR 2010),2011-03-17T00:00:00,Japan International Cooperation Agency,Industry,Completion,2011,2013,12574662,12323102
305,Food Security Project for Underprivileged Farmers (KRII),,Japan International Cooperation Agency,Agriculture,Completion,2010,2011,5361821,6310034
306,Improvement of Kathmandu-Bhaktapur Road Project,2008-10-01T00:00:00,Japan International Cooperation Agency,Transport and storage,Completion,2008,2011,27397790,31304060
307,Improvement of community access (Rural Road Bridge Program),,Japan International Cooperation Agency,Other,Implementation,2010,2013,11367748,6105705
308,Melamchi Drinking Water Project,2001-11-28T00:00:00,Japan International Cooperation Agency|Organization of the Petroleum Exporting Countries|Nordic Development Fund|Asian Development Bank,Water supply and sanitation,Implementation,2001,2013,239639046,63519845
309,Home Garden Project Phase 3,2009-04-01T00:00:00,Swiss Agency for Development and Cooperation,Agriculture,Implementation,2009,2013,1130277,978682
310,Vegetable Seed Project Phase 3,2011-01-01T00:00:00,Department for International Development|Swiss Agency for Development and Cooperation,Agriculture,Implementation,2010,2013,2680828,1441037
311,Good Governance Project Phase IV,2009-03-01T00:00:00,Swiss Agency for Development and Cooperation,Other,Completion,2009,2012,1247492,1141484
312,Raising Impact of National Skill Testing Board Phase I,2007-01-01T00:00:00,Swiss Agency for Development and Cooperation,"Education, level unspecified",Completion,2007,2013,841879,822366
313,Vertical Shaft Brick Kiln Project Phase 5,2008-01-01T00:00:00,Swiss Agency for Development and Cooperation,Industry,Completion,2008,2013,5289192,3826807
314,Multi Stakeholder Forestry Programme (MSFP),2012-01-23T00:00:00,Department for International Development|Swiss Agency for Development and Cooperation|Finland,Forestry,Implementation,2011,2013,63006519,6730421
315,Franchising Skill Phase 3,2008-05-01T00:00:00,Swiss Agency for Development and Cooperation,"Education, level unspecified",Completion,2008,2013,1888997,1068208
316,Strengthen BOG secretariat,2009-10-01T00:00:00,Swiss Agency for Development and Cooperation,"Conflict prevention and resolution, peace and security",Implementation,2009,2013,697042,594260
317,River Protection Works in East Chitwan,2011-05-01T00:00:00,Swiss Agency for Development and Cooperation,Agriculture,Implementation,2011,2013,2121791,3598416
318,Safer Migration Project Phase I,2011-02-01T00:00:00,Swiss Agency for Development and Cooperation,Other social infrastructure and services,Implementation,2010,2012,1273074,1017643
319,Social Responsiveness Program,2008-11-01T00:00:00,Swiss Agency for Development and Cooperation,Other social infrastructure and services,Completion,2008,2012,528918,392318
320,Safe Drinking Water for Ramechhap District,,Swiss Agency for Development and Cooperation,Water supply and sanitation,Pipeline/identification,2011,2011,7100345,113134
321,Motorable Local Road Bridge Program Phase I,2011-02-01T00:00:00,Swiss Agency for Development and Cooperation,Other,Implementation,2011,2013,9919372,7434274
322,State Building at Local Level Phase 1,2011-08-01T00:00:00,Swiss Agency for Development and Cooperation,Other,Implementation,2010,2012,5044136,1554149
323,Nepal Swiss Community Forestry Project,2008-07-16T00:00:00,Swiss Agency for Development and Cooperation,Forestry,Implementation,2008,2013,5202298,4052015
324,Buffer Zone Development Project,2009-03-01T00:00:00,Swiss Agency for Development and Cooperation,Other social infrastructure and services,Completion,2009,2011,622642,607266
325,Support for Effective Empowerment,2008-11-01T00:00:00,Swiss Agency for Development and Cooperation,Other social infrastructure and services,Completion,2008,2013,402985,233868
326,Local Infrastructure for Livelihood Improvement Project-II,2009-08-01T00:00:00,Swiss Agency for Development and Cooperation|HELVETAS Switzerland,Other,Implementation,2009,2013,7168118,8678172
327,Rural Health Development Project (Phase-7),2009-07-16T00:00:00,Swiss Agency for Development and Cooperation,Health,Implementation,2009,2013,4030628,3790877
328,"Trail Bridge Sub-Sector Programme,Phase II",2007-01-01T00:00:00,Swiss Agency for Development and Cooperation,Other,Completion,2007,2010,8861891,9517550
329,Supporting Nepal's WTO accession,2008-04-30T00:00:00,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,Business and other services,Completion,2008,2013,1290571,1129771
330,Support to Peace Process (STPP),2007-09-01T00:00:00,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,"Conflict prevention and resolution, peace and security",Implementation,2007,2013,13382310,9853835
331,Inclusive Development of the Economy (INCLUDE) Programme,2009-02-06T00:00:00,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,"Agriculture|Government and civil society, general",Implementation,2008,2013,13530068,9090186
332,Revenue Administration Support Project (RAS),2009-01-01T00:00:00,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,"Government and civil society, general",Implementation,2008,2013,2188895,1845393
333,Health Sector Support Programme (HSSP),2006-01-01T00:00:00,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,Health,Implementation,2006,2013,15392845,11459668
334,Nepal Energy Efficiency Programme (NEEP)/Support to Energy efficiency,2010-02-01T00:00:00,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,"Government and civil society, general|Industry|Energy generation and supply|Energy generation and supply|Energy generation and supply",Implementation,2010,2013,5478116,2919691
335,Energising Development (EnDev) Nepal,2009-01-01T00:00:00,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,Energy generation and supply|Energy generation and supply|Energy generation and supply,Implementation,2008,2013,2209515,1352655
336,HIV prevention for Injecting Drug Users (Harm Reduction),,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,Health,Implementation,2010,2013,2809290,1182531
337,Improvement of Livelihoods in Rural Areas (ILRA),2009-10-01T00:00:00,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,Other social infrastructure and services|Agriculture|Other social infrastructure and services|Banking and financial services,Implementation,2009,2013,6567399,5744564
338,"Sub-national Governance Programme, Nepal (SUNAG)",,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,Other|Other,Implementation,2011,2013,14810426,6686399
339,Poverty Alleviation in Selected Rural Areas of Nepal (PASRA),2008-01-01T00:00:00,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,Other,Completion,2007,2013,11604833,9070855
340,Urban Development through Local Efforts Programme (UDLE),2008-01-01T00:00:00,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,Other,Completion,2007,2013,10057523,7942044
341,Carter Senteret 2010,,Norway,"Government and civil society, general",Completion,2011,2012,346536,798522
342,Support to Strategic and Operational Plan of INSEC,2009-09-08T00:00:00,Norway,"Government and civil society, general",Implementation,2009,2013,2182769,2211331
343,Support to Center for Constitutional Dialogue,2010-08-31T00:00:00,Norway,"Government and civil society, general",Completion,2008,2012,803126,1711573
344,Multi Donor Trust Fund for Public Financial Management (WB),2010-12-13T00:00:00,Norway|World Bank Trust Funds,Banking and financial services,Implementation,2010,2013,6845107,5282753
345,Support to the electoral process in Nepal. Building electoral capacity and promoting electoral legal reform,2011-08-28T00:00:00,Norway,"Government and civil society, general",Implementation,2010,2013,1259831,1057028
346,Theatre Partnership Nepal-Norway â Exit Phase,2010-08-31T00:00:00,Norway,Other social infrastructure and services,Implementation,2010,2012,453818,484232
347,Supporting Nepalâs Constitution Making and Implementation,2010-01-15T00:00:00,Norway,Other social infrastructure and services,Implementation,2009,2012,3708540,3103960
348,Music Collaboration Through Nepal Music Center - Exit Phase,2010-08-05T00:00:00,Norway,Other social infrastructure and services,Implementation,2010,2012,476941,490520
349,ICIMOD core support,2007-08-30T00:00:00,Norway,Agriculture|Forestry,Implementation,2007,2012,4223530,4580941
350,Strengthening of LGBTI through Blue Diamond support,,Norway,Other social infrastructure and services,Implementation,2011,2013,1078671,436217
351,Transparency Nepal,2011-01-01T00:00:00,Norway,"Government and civil society, general",Implementation,2010,2013,205265,181687
352,"Social Inclusion Research Fund Assistance Programme, SIRF II",2010-01-01T00:00:00,Norway,Other social infrastructure and services,Implementation,2009,2012,4070357,3540682
353,Promoting Participatory Democracy - MIREST,2010-11-01T00:00:00,Norway,Other social infrastructure and services,Implementation,2010,2013,2065562,1804709
354,Hydro Lab Phase II,2006-08-08T00:00:00,Norway,Energy generation and supply,Implementation,2006,2013,1129980,1077811
355,Hindu Kush Himalaya Cryosphere studies and capacity building,2010-11-30T00:00:00,Norway,General environmental protection,Implementation,2010,2012,5810014,2995425
356,Sustainable Development Together,2007-01-04T00:00:00,Finland,Other social infrastructure and services,Completion,2007,2011,1244584,1190445
357,Rural Water Supply and Sanitation Project in Western Nepal [RWSSP-WN],2008-08-01T00:00:00,Finland,Other,Implementation,2008,2013,15965002,10957564
358,Rural Village Water Resource Management Project Phase- II,2010-09-01T00:00:00,Finland,Other,Implementation,2010,2013,17334406,9061298
359,"Strengthening of Environmental Administration and Management at the Local Level [SEAM,N]",2008-08-01T00:00:00,Finland,Other,Implementation,2008,2013,9793755,6754992
360,Improved capability to respond to increased risk of natural disasters related to climate change,2010-05-01T00:00:00,Finland,"Government and civil society, general",Completion,2009,2012,667805,691293
361,Improving Research Capacity of Forest Resource Information Technology (IRCFRIT),2010-01-25T00:00:00,Finland,Forestry,Completion,2009,2011,370490,327305
362,Regional Waste Management Project (RWMP),2010-04-27T00:00:00,Finland,Other,Completion,2010,2012,6009357,3647270
363,Forest Resource Assessment in Nepal,,Finland,Forestry,Implementation,2009,2013,6632579,5499375
364,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,,European Union,Other social infrastructure and services|Other,Pipeline/identification,-,-,-,-
